Id; OrderId; RecipientId; ShipmentId; PreparationId; ParentId; CarrierTypeId; NameOne; NameTwo; AddressOne; AddressTwo; AddressThree; ZipCode; City; Country; PhoneNumber; GsmNumber; EmailAddress; FaxNumber; IsB2C; CreationDate; ModificationDate; RequestedShippingDate; ReturnDate; ModelRef; ParcelContent; LabelOne; LabelTwo; LabelThree; LabelFour; LabelFive; LabelSix; NetWeight; Weight; NumberOfParcels; PreparationMovementId; ShipmentMovementId; ReturnMovementId; Civility; IsPalletization; IsReturn; ReturnReason; ReturnCondition; PreparationPrice; IsCanceled; IsFlash; Tare; GroupBy; IsRemoval; PackagingPrice; PreparationTime; IsForce; IsValid; ValidatedBy; ValidationDate; Reedit; IsPriority; IsForcast; AffectationDate; PrCode; SendDate; OpeIndo; IsPosSending; DoNotCharge; RmaValid; ReturnWeight; NumberOfReturnParcels; ExitEdiFile; BillReturnTransport; Order; Shipment; OrderLines; Infos; Parent; TransportType
12730838; SPK_SPKSO_PREPROD_2510914; 501187586; ; ; ; 291; Vinciunaite Julija; Vinciunaite Julija; 73 rue lauriston; i. kanto; ; 75016; Paris; FR; ; 0651303312; julija.vinciunaite@spareka.com; ; True; 11/03/2025 15:44:05; 11/03/2025 15:44:05; 12/03/2025 00:00:00; ; ; ; ; ; ; ; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; 032461|FR; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730837; SPK_SPKSO_PREPROD_2510913; 501187585; ; ; ; ; PONS SARAH; PONS SARAH; 20 Rue des Archers; ; ; 80400; Poitiers; FR; ; 0654910849; ASDZODM87@orange.fr; ; True; 11/03/2025 10:14:07; 11/03/2025 10:14:07; 13/03/2025 00:00:00; ; ; ; ; ; ; ; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
12730836; REC_AEY8900; AEY8900; ; ; ; 220; Antoine Meyer; Blanchard PhD; X; X; ; 60423; Nantes; IO; +33168002880; ; 6495ceb9-a53c-4ee8-b26f-030e9a73cc09@example.net; ; True; 11/03/2025 09:48:16; 13/03/2025 09:16:04; ; ; ; ; parcel; ; 7358777-B; ; RETAAV9062-1; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730835; TE_4511647; 4511647; ; ; ; 218; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 10/03/2025 13:12:55; 10/03/2025 13:12:55; ; ; ; ; ; ; ; 11/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730834; TE_4511645; 4511645; ; ; ; 232; emmanuel estienne; estienne emmanuel; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 147895623; manu@far-east.fr; ; True; 10/03/2025 11:45:05; 10/03/2025 11:45:05; ; ; ; ; ; ; ; 10/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730833; TE_4511644; 4511644; ; ; ; 232; sandra estienne; sandra estienne; 76 rue lafayette; ; ; 54320; maxéville; FR; ; 0783616555; sandra.estienne@telecommande-express.com; ; True; 10/03/2025 11:09:23; 10/03/2025 11:09:23; ; ; ; ; ; ; ; 10/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730832; REC_AEY6192; AEY6192; ; ; ; ; Baptiste Morel; Baptiste Morel; X; X; ; 48248; La Seyne-sur-Mer; IL; 0778938564; ; be5ebcb0-9b42-4ec1-b088-79705c0b9ca6@example.net; ; True; 07/03/2025 15:48:13; 07/03/2025 15:48:14; ; ; ; ; parcel; ; ; ; 539742-18-18000470308; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
12730831; REC_AEY6191; AEY6191; ; ; ; ; Romain Leroy; Romain Leroy; X; ; ; 99880; Le Tampon; AF; 0580457857; ; 608f7a41-85c7-4438-bf9b-9437a128f73e@example.net; ; True; 07/03/2025 15:48:08; 07/03/2025 15:48:09; ; ; ; ; parcel; ; ; ; 49482041; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; 
12730830; REC_AEY6190; AEY6190; ; ; ; 349; Enzo David; Pierre et Le gall; X; ; ; 10882; Nîmes; NA; 0698146178; ; af1989fa-68fe-44a5-a4cc-52b0170ef335@example.net; ; True; 07/03/2025 15:48:03; 07/03/2025 15:48:04; ; ; ; ; parcel; ; ; ; A-3085572-1-A; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730829; TE_4511643; 4511643; ; ; ; 232; emmanuel estienne; estienne emmanuel; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 07/03/2025 12:54:48; 07/03/2025 12:54:48; ; ; ; ; ; ; ; 10/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730828; TE_4511642; 4511642; ; ; ; 232; emmanuel estienne; estienne emmanuel; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 147895623; manu@far-east.fr; ; True; 07/03/2025 12:49:42; 07/03/2025 12:49:42; ; ; ; ; ; ; ; 10/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730827; TE_4511641; 4511641; ; ; ; 232; emmanuel estienne; estienne emmanuel; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 07/03/2025 12:39:06; 07/03/2025 12:39:06; ; ; ; ; ; ; ; 10/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730826; TE_4511640; 4511640; ; ; ; 232; emmanuel estienne; estienne emmanuel; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 07/03/2025 12:25:49; 07/03/2025 12:25:49; ; ; ; ; ; ; ; 10/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730825; TE_4511639; 4511639; ; ; ; 218; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 07/03/2025 12:23:42; 07/03/2025 12:23:42; ; ; ; ; ; ; ; 10/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730824; TE_4511638; 4511638; ; ; ; 232; sandra estienne; sandra estienne; 76 rue lafayette; ; ; 54320; maxéville; FR; ; 0783616555; sandra.estienne@telecommande-express.com; ; True; 07/03/2025 12:23:18; 07/03/2025 12:23:18; ; ; ; ; ; ; ; 10/03/2025; 2P_COLDOM; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730823; TE_4511637; 4511637; ; ; ; 218; Fabrice Potillion; Télecommande Express; 233 rue Etienne Marcel; ; ; 93100; Montreuil; FR; ; 0173795440; fabrice.potillion@probip.com; ; True; 06/03/2025 15:12:41; 06/03/2025 15:12:41; ; ; ; ; test test ; ; ; 07/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730822; TE_4511636; 4511636; ; ; ; 218; sandra estienne; estienne sandra; 11 rue d'amsterdam; ; ; 54500; vandoeuvre; FR; ; 0147895623; manu@far-east.fr; ; True; 06/03/2025 13:21:53; 06/03/2025 13:21:53; ; ; ; ; ; ; ; 07/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
12730821; TE_4511635; 4511635; ; ; ; 218; Fabrice Potillion; Télecommande Express; 233 rue Etienne Marcel; ; ; 93100; Montreuil; FR; ; 0173795440; fabrice.potillion@probip.com; ; True; 06/03/2025 11:53:39; 06/03/2025 11:53:39; ; ; ; ; test test fabrice; ; ; 06/03/2025; CHR_13H; ; ; ; ; ; ; ; ; False; False; ; ; ; False; False; ; ; False; ; ; ; True; ; ; ; False; ; ; ; ; ; ; False; ; ; ; ; True; Castle.Proxies.OrderProxy; ; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderLine]; System.Collections.Generic.HashSet`1[ERP.DEMO.Models.Orders.OrderInfo]; ; Castle.Proxies.TransportTypeProxy
